Artist;Anger;Article;Death;Family;Friends;Home;I;Money;Negate;Negemo;Optim;Other;Othref;Posemo;Posfeel;Preps;Pronoun;Relig;Sad;School;Self;Sexual;Swear;We;You
DeDijk;0.0027919514778087995;0.07942620583421585;0.0012515644555694619;0.0037065562722634064;0.0011552902666795034;0.0014441128333493789;0.05049581207278329;0.0012515644555694619;0.014104168672378938;0.018436507172427074;0.0015403870222393376;0.00967555598344084;0.047126215461634736;0.0193029748724367;0.005632040050062578;0.08529893135650332;0.11755078463463944;0.0023587176278039856;0.008327717338981421;0.00014441128333493792;0.05266198132280736;0.0015403870222393376;0.00028882256666987584;0.0015403870222393376;0.03143352267257148
Brainpower;0.007436007436007437;0.037037037037037035;0.0009438009438009437;0.0031746031746031746;0.0018876018876018879;0.0008866008866008868;0.039182039182039184;0.002345202345202345;0.00960960960960961;0.02090662090662091;0.0023166023166023165;0.004261404261404261;0.04936364936364936;0.013613613613613613;0.004032604032604033;0.07367367367367368;0.10204490204490203;0.0014586014586014586;0.0052052052052052045;0.0010582010582010585;0.039611039611039615;0.0018876018876018879;0.003632203632203632;0.00040040040040040036;0.042328042328042326
AcdaenDeMunnik;0.002253098009763425;0.05816330788167062;0.0014186172654066008;0.0047148162056160564;0.0017941336003671714;0.0032544749029916136;0.07343430550340051;0.0015437893770601245;0.011223766011599282;0.020736846497267074;0.003171026828555931;0.012642383277005884;0.053782283973797314;0.02641131555889348;0.011265490048817123;0.06775983644177411;0.14403137647598782;0.0026286143447239955;0.00938790837401427;0.00104310093044603;0.07572912755038178;0.002419994158634789;0.0002920682605248884;0.002127925898109901;0.034630950890808185
OsdorpPosse;0.011244348338903086;0.050599567525063886;0.0022803223904069195;0.0020051110674267738;0.0013760566149007276;0.001100845291920582;0.03715352860231964;0.005071751523491252;0.012030666404560644;0.026263023392962454;0.002162374680558286;0.012816984470218205;0.06923530568114802;0.016434047572242972;0.003656379005307647;0.08154118340868881;0.11865539610772555;0.001533320228032239;0.00530764694318852;0.0018085315510123843;0.04419107528995479;0.004599960684096717;0.005386278749754276;0.005897385492431689;0.045724395517987015
AndréVanDuin;0.0011297114100852418;0.0415596864194995;0.00034233679093492183;0.004929649789462874;0.0032864331929752487;0.004655780356714936;0.04967306836465715;0.0026359932901988976;0.00866112081065352;0.01027010372804765;0.0007531409400568279;0.008866522885214475;0.04036150765122728;0.016945671151278627;0.004484611961247475;0.07230153024545548;0.10249563520591558;0.00044503782821539835;0.003936873095751601;0.00044503782821539835;0.05378110985587621;0.0006162062236828592;3.4233679093492176e-05;0.0033891342302557253;0.02365547225360309
Esko;0.002973712382538361;0.031759248245509686;0.00035684548590460334;0.007850600689901274;0.002973712382538361;0.0014273819436184134;0.06803853931247769;0.002378969906030689;0.010824313072439634;0.009991673605328892;0.00107053645771381;0.009277982633519685;0.04829308909242298;0.006661115736885929;0.0017842274295230163;0.07339122160104675;0.12323064113238967;0.00035684548590460334;0.002378969906030689;0.0009515879624122756;0.06934697276079457;0.0017842274295230163;0.00214107291542762;0.0011894849530153446;0.03687403354347568
Jiskefet;0.002333722287047841;0.05017502917152858;0.0011668611435239206;0.003500583430571762;0.0011668611435239206;0.0;0.1061843640606768;0.002333722287047841;0.004667444574095682;0.01750291715285881;0.0;0.010501750291715286;0.043173862310385065;0.040840140023337225;0.005834305717619603;0.07934655775962661;0.1633605600933489;0.021003500583430573;0.009334889148191364;0.0011668611435239206;0.1061843640606768;0.008168028004667444;0.0;0.0;0.026837806301050177
HenkWestbroek;0.00448601698959626;0.04438293404600554;0.0009544716999140976;0.004581464159587668;0.0027679679297508827;0.00410422830963062;0.07005822277369476;0.005345041519518946;0.020998377398110148;0.020902930228118736;0.0024816264197766533;0.013076262288823136;0.060990741624510826;0.02691610193757755;0.008113009449269829;0.08676147752219146;0.14708408895676242;0.0027679679297508827;0.008017562279278419;0.0006681301899398683;0.0713944831535745;0.004295122649613439;0.0;0.0013362603798797365;0.039133339696478
MaaikeOuboter;0.0017510068289266331;0.04937839257573105;0.00017510068289266332;0.0008755034144633164;0.00017510068289266332;0.004027315706531256;0.06916476974260201;0.0015759061460339696;0.006303624584135878;0.01698476624058834;0.002976711609175276;0.015934162143232358;0.07827000525302047;0.017334967606373666;0.0059534232183505505;0.09700577832253546;0.15601470845736298;0.0005253020486779899;0.0066538259499212046;0.0008755034144633164;0.07161617930309927;0.0022763088776046225;0.00017510068289266332;0.0021012081947119595;0.050428996673087034
RuthJacott;0.00178903678259625;0.042650636897094606;0.0005724917704308;0.00293402032345785;0.0005724917704308;0.00093029912695005;0.08723343351939315;0.0011449835408616;0.011235150994704452;0.0191784743094318;0.004866180048661801;0.003864319450407901;0.061972234149134116;0.0236152855302705;0.00894518391298125;0.09059682267067412;0.16516387576928582;0.00093029912695005;0.00894518391298125;0.0005724917704308;0.0910261914984972;0.00508086446257335;0.0;0.0027193359095463;0.051381136396164304
